,gene_ids,n_cells,mt,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm
ZNF737,ENSG00000237440,40,False,40,0.008527454,99.16805324459234,41.0,True,0.13194413317359865,3.0289042354341595,0.74223596
ZNF430,ENSG00000118620,661,False,661,0.15391015,86.25207986688852,740.0,True,1.1117989835100033,3.0774528279998297,1.1674423
ZNF714,ENSG00000160352,263,False,263,0.060524125,94.52995008319468,291.0,True,0.5769312245175218,3.030427750363787,1.0357317
ZNF431,ENSG00000196705,361,False,361,0.079866886,92.49168053244591,384.0,True,0.7673159786002378,3.016797992248266,0.9746127
ZNF708,ENSG00000182141,222,False,222,0.047212977,95.38269550748753,227.0,True,0.5295199123133421,3.0766386598240483,1.2429518
ZNF738,ENSG00000172687,209,False,209,0.045341097,95.65307820299502,218.0,True,0.47598341914353925,2.955865217141675,0.7013765
ZNF493,ENSG00000196268,550,False,550,0.12936772,88.56073211314475,622.0,True,1.0790483420987005,3.308483903164149,2.1372728
ZNF429,ENSG00000197013,343,False,343,0.07695507,92.86605657237936,370.0,True,0.7355695281125026,3.1667330228518806,1.646955
RP11-678G14.2,ENSG00000268081,8,False,8,0.0016638935,99.83361064891847,8.0,True,0.02582217643777767,3.254397366214511,1.370886
ZNF100,ENSG00000197020,193,False,193,0.04263727,95.98585690515807,205.0,True,0.42729753733847853,2.9987513601190616,0.658173
ZNF98,ENSG00000197360,5,False,5,0.0010399334,99.89600665557404,5.0,True,0.013774986652875024,3.0463150689013516,0.7907754
ZNF91,ENSG00000167232,495,False,495,0.110856906,89.70465890183029,533.0,True,0.9026829358013944,2.960707761934548,0.72309154
ZNF726,ENSG00000213967,54,False,54,0.011231281,98.87687188019967,54.0,True,0.1575449611040911,2.982903095827913,0.61398983
CTD-2017D11.1,ENSG00000268362,518,False,518,0.115640596,89.22628951747087,556.0,True,0.9666936049715613,3.0455656493935814,1.0335852
LINC00662,ENSG00000261824,1107,False,1107,0.29596505,76.97587354409318,1423.0,True,1.6071290824053597,3.241984538422797,1.6628643
CTC-459F4.1,ENSG00000261770,141,False,141,0.030782029,97.06738768718802,148.0,True,0.34252564503096933,3.078736636952287,0.8811632
CTC-459F4.3,ENSG00000267575,433,False,433,0.095673874,90.99417637271215,460.0,True,0.9151427700309261,3.1451729758829723,1.4517204
ZNF302,ENSG00000089335,1204,False,1204,0.30532447,74.95840266222962,1468.0,True,1.64861200588072,3.136620985081275,1.2356786
ZNF30,ENSG00000168661,53,False,53,0.011439268,98.89767054908486,55.0,True,0.13549214689727843,3.0976361787261886,0.93385303
GRAMD1A,ENSG00000089351,1395,False,1395,0.39600664,70.98585690515806,1904.0,True,1.8082466446170105,3.037090003798625,0.83214027
SCN1B,ENSG00000105711,279,False,279,0.06322795,94.19717138103162,304.0,True,0.6196360172108426,3.0017655619857875,0.9072039
FXYD7,ENSG00000221946,6,False,6,0.0012479201,99.87520798668885,6.0,True,0.024562577804118566,3.102481449372168,0.9473611
SBSN,ENSG00000189001,389,False,389,0.093178034,91.90931780366056,448.0,True,0.8228649353111972,3.1249257756006035,1.459482
AD000090.2,ENSG00000236144,137,False,137,0.029742096,97.15058236272878,143.0,True,0.3490250281927177,3.0956876603050034,0.9284208
AC002398.11,ENSG00000267439,9,False,9,0.0020798668,99.81281198003327,10.0,True,0.032228414190986175,3.503962680334502,2.0666468
LIN37,ENSG00000267796,71,False,71,0.0147670545,98.52329450915141,71.0,True,0.209711338900483,3.093260316786675,0.9216536
C19orf55,ENSG00000167595,681,False,681,0.1578619,85.83610648918469,759.0,True,1.2236942486077422,3.236585561967918,1.8354553
APLP1,ENSG00000105290,188,False,188,0.041181363,96.08985024958403,198.0,True,0.4555804015080056,2.9436051138109947,0.64639944
NFKBID,ENSG00000167604,225,False,225,0.048668884,95.32029950083195,234.0,True,0.5526156036562657,3.1715756438053035,1.6686704
COX7A1,ENSG00000161281,1166,False,1166,0.6079451,75.74875207986689,2923.0,True,1.9892732923419703,3.2152696080960226,1.2972978
ZNF565,ENSG00000196357,92,False,92,0.019550748,98.0865224625624,94.0,True,0.2105615655172162,2.9989238928825226,0.65865403
ZFP14,ENSG00000142065,353,False,353,0.0796589,92.65806988352745,383.0,True,0.7760183984346289,3.186007967193905,1.7333882
ZFP82,ENSG00000181007,284,False,284,0.06198003,94.09317803660566,298.0,True,0.5773586441485654,2.923710420197943,0.5571872
ZNF566,ENSG00000186017,261,False,261,0.05761231,94.57154742096506,277.0,True,0.5736671647585344,2.958482025312175,0.71311086
CTD-2630F21.1,ENSG00000267309,10,False,10,0.0020798668,99.79201331114808,10.0,True,0.02182564107065328,2.9630914625532565,0.5587571
ZNF790,ENSG00000197863,383,False,383,0.08402662,92.03410981697171,404.0,True,0.7946755629268626,3.0098677360343875,0.9435359
ZNF568,ENSG00000198453,262,False,262,0.05886023,94.55074875207987,283.0,True,0.5792587008815165,3.0322908085596016,1.044086
ZNF383,ENSG00000188283,40,False,40,0.008319467,99.16805324459234,40.0,True,0.11396652480823699,2.961366944603416,0.55394936
AC012309.5,ENSG00000226686,29,False,29,0.0062396005,99.39683860232945,30.0,True,0.08448776013109155,2.965423653169753,0.56525904
ZNF527,ENSG00000189164,76,False,76,0.016222961,98.41930116472545,78.0,True,0.2010811603801816,3.1145078897924723,0.9808895
ZNF793,ENSG00000188227,268,False,268,0.05948419,94.42595673876872,286.0,True,0.5921141629324251,3.0087913002811297,0.9387089
ZNF571-AS1,ENSG00000267470,43,False,43,0.008943427,99.10565723793677,43.0,True,0.11722904122025946,2.983973639741027,0.61697435
CTD-2528L19.6,ENSG00000267152,30,False,30,0.006655574,99.37603993344426,32.0,True,0.06892685478670679,2.962564443472572,0.5572879
